"source"|"blue"|"orange"|"green"|"yellow"|"brown"|"red"
"FA2008"|6|18|12|6|7|7
"FA2008"|15|11|9|1|12|8
"FA2008"|8|4|14|13|10|10
"FA2008"|12|6|12|8|11|7
"FA2008"|9|11|10|9|11|6
"FA2008"|8|12|15|7|10|5
"FA2008"|14|10|6|8|11|8
"FA2008"|16|8|13|2|6|11
"FA2008"|7|14|14|1|12|9
"FA2008"|14|13|8|5|6|10
"FA2008"|11|11|13|3|7|12
"FA2008"|13|8|14|4|9|9
"FA2008"|9|13|9|3|11|11
"FA2008"|17|9|10|5|10|5
"FA2008"|17|15|10|3|7|5
"FA2008"|12|12|13|2|9|7
"FA2008"|10|12|10|2|13|9
"FA2008"|13|8|13|13|3|5
"FA2008"|10|7|13|5|6|13
"FA2008"|12|13|12|6|6|9
"FA2008"|9|7|13|6|14|9
"FA2008"|12|10|12|4|0|11
"FA2008"|10|14|9|2|10|10
"FA2008"|10|12|13|1.5|11|10
"FA2008"|11|12|8|3|12|8
"FA2008"|13|8|12|4|9|8
"FA2008"|13|14|14|4|6|5
"FA2008"|11|9|16|5|8|10
"FA2008"|9|11|13|2|10|10
"FA2008"|9|10|15|1|17|5
"FA2008"|12|11|17|0|6|9
"FA2008"|13|10|16|6|5|6
"FA2008"|19|6|12|7|5|7
"FA2008"|20|9|7|9|6|6
"FA2008"|9|7|10|5|16|10
"FA2008"|10|11|11|5|6|12
"FA2008"|12|12|11|4|9|9
"FA2008"|13|9|11|4|7|11
"FA2008"|10|9|12|9|8|8
"FA2008"|11|9|16|12|4|3
"FA2008"|18|8|9|10|6|5
"FA2008"|15|6|11|4|5|15
"FA2008"|15|15|8|4|8|7
"FA2008"|15|9|13|6|9|6
"FA2008"|12|13|8|9|3|11
"FA2008"|16|13|8|4|7|7
"FA2008"|12|13|12|8|4|8
"FA2008"|11|10|9.5|8|12|5
"FA2008"|7|11|11|11|9|8
"FA2008"|9|17|12|8|5|7
"FA2008"|7|0|16|9|5|11
"FA2008"|6|11|11|10|6|7
"FA2008"|7|14|11|9|5|12
"FA2008"|7|14|10|15|4|7
"FA2008"|12|15|14|9|2|6
"FA2008"|9|15|12|6|9|5
"FA2008"|9|16|13|4|7|6
"FA2008"|11|14|15|5.5|4|6
"FA2008"|14|14|9|1|10|8
"FA2008"|14|9|11|5|6|10
"FA2008"|8|11|9|12|7|9
"FA2008"|8|9|14|8|13|4
"FA2008"|9|11|9|4|11|10
"FA2008"|14|9|11|3|9|10
"FA2008"|14|14|5|16|5|3
"FA2008"|11|9|11|7|9|9
"FA2008"|10|15|9|4|8|9
"SP2008"|10|7|15|7|7|9
"SP2008"|9|15|11|9|6|6
"SP2008"|12|8|9|7|8|9
